,id,topic,newsOrTwit
0,5dbf6fd211bb5a181c167f4e,,N
1,5dbf6fd311bb5a181c167f4f,,N
2,5dbf6fd311bb5a181c167f50,,N
3,5dbf6fd311bb5a181c167f51,,N
4,5dbf6fd311bb5a181c167f52,,N
5,5dbf6fd311bb5a181c167f53,,N
6,5dbf6fd311bb5a181c167f54,,N
7,5dbf6fd311bb5a181c167f55,,N
8,5dbf6fd311bb5a181c167f56,,N
9,5dbf6fd311bb5a181c167f57,Before-Crypto,N
10,5dbf6fd311bb5a181c167f58,Before-Donation,N
11,5dbf6fd311bb5a181c167f59,,N
12,5dbf6fd311bb5a181c167f5a,,N
13,5dbf6fd311bb5a181c167f5b,,N
14,5dbf6fd311bb5a181c167f5c,,N
15,5dbf6fd311bb5a181c167f5d,,N
16,5dbf702f11bb5a181c167f5e,,N
17,5dbf702f11bb5a181c167f5f,,N
18,5dbf702f11bb5a181c167f60,,N
19,5dbf703011bb5a181c167f61,,N
20,5dbf703011bb5a181c167f62,Before-Interest Rate,N
21,5dbf703011bb5a181c167f63,Before-Interest Rate,N
22,5dbf703011bb5a181c167f64,,N
23,5dbf703011bb5a181c167f65,,N
24,5dbf703011bb5a181c167f66,,N
25,5dbf703011bb5a181c167f67,Before-Scandal,N
26,5dbf703011bb5a181c167f68,,N
27,5dbf703011bb5a181c167f69,,N
28,5dbf703011bb5a181c167f6a,,N
29,5dbf703011bb5a181c167f6b,,N
30,5dbf709911bb5a181c167f6c,Outsider,N
31,5dbf709911bb5a181c167f6c,Shake Up,N
32,5dbf709911bb5a181c167f6d,,N
33,5dbf709911bb5a181c167f6e,Perfect Person,N
34,5dbf709911bb5a181c167f6f,Outsider,N
35,5dbf709911bb5a181c167f70,Tough Job,N
36,5dbf709911bb5a181c167f71,,N
37,5dbf709911bb5a181c167f72,Tough Job,N
38,5dbf709911bb5a181c167f73,Dimon,N
39,5dbf709911bb5a181c167f73,Detail Oriented,N
40,5dbf709911bb5a181c167f74,New York,N
41,5dbf709911bb5a181c167f74,Perfect Person,N
42,5dbf709911bb5a181c167f75,Stock,N
43,5dbf709911bb5a181c167f76,,N
44,5dbf709a11bb5a181c167f77,,N
45,5dbf709a11bb5a181c167f78,,N
46,5dbf709a11bb5a181c167f79,,N
47,5dbf709a11bb5a181c167f7a,,N
48,5dbf709a11bb5a181c167f7b,,N
49,5dbf709a11bb5a181c167f7c,,N
50,5dbf709a11bb5a181c167f7d,,N
51,5dbf709a11bb5a181c167f7e,,N
52,5dbf709a11bb5a181c167f7f,,N
53,5dbf709a11bb5a181c167f80,,N
54,5dbf709a11bb5a181c167f81,,N
55,5dbf709a11bb5a181c167f82,,N
56,5dbf709a11bb5a181c167f83,Tough Job,N
57,5dbf709a11bb5a181c167f84,,N
58,5dbf709a11bb5a181c167f85,Outsider,N
59,5dbf709a11bb5a181c167f86,,N
60,5dbf709a11bb5a181c167f87,,N
61,5dbf709a11bb5a181c167f88,,N
62,5dbf709a11bb5a181c167f89,Stock,N
63,5dbf709a11bb5a181c167f8a,Stock,N
64,5dbf709b11bb5a181c167f8b,,N
65,5dbf709b11bb5a181c167f8c,,N
66,5dbf709b11bb5a181c167f8d,New York,N
67,5dbf709b11bb5a181c167f8e,Perfect Person,N
68,5dbf709b11bb5a181c167f8e,Stock,N
69,5dbf709b11bb5a181c167f8f,Tough Job,N
70,5dbf709b11bb5a181c167f90,Tough Job,N
71,5dbf709b11bb5a181c167f91,Diversity,N
72,5dbf709b11bb5a181c167f92,Tough Job,N
73,5dbf709b11bb5a181c167f93,Stock,N
74,5dbf709b11bb5a181c167f93,Caution,N
75,5dbf709b11bb5a181c167f94,Pay,N
76,5dbf709b11bb5a181c167f94,Perfect Person,N
77,5dbf709b11bb5a181c167f95,,N
78,5dbf709b11bb5a181c167f96,Pay,N
79,5dbf709b11bb5a181c167f97,Pay,N
80,5dbf709b11bb5a181c167f98,Pay,N
81,5dbf709b11bb5a181c167f99,Pay,N
82,5dbf709b11bb5a181c167f9a,,N
83,5dbf709b11bb5a181c167f9b,Tough Job,N
84,5dbf709b11bb5a181c167f9c,Tough Job,N
85,5dbf709b11bb5a181c167f9d,,N
86,5dbf709b11bb5a181c167f9e,,N
87,5dbf709c11bb5a181c167f9f,,N
88,5dbf709c11bb5a181c167fa0,,N
89,5dbf709c11bb5a181c167fa1,,N
90,5dbf709c11bb5a181c167fa2,,N
91,5dbf709c11bb5a181c167fa3,,N
92,5dbf709c11bb5a181c167fa4,Perfect Person,N
93,5dbf709c11bb5a181c167fa5,,N
94,5dbf709c11bb5a181c167fa6,,N
95,5dbf709c11bb5a181c167fa7,,N
96,5dbf709c11bb5a181c167fa8,Tough Job,N
97,5dbf709c11bb5a181c167fa9,Tough Job,N
98,5dbf709c11bb5a181c167faa,,N
99,5dbf709c11bb5a181c167fab,,N
100,5dbf709c11bb5a181c167fac,Dimon,N
101,5dbf709c11bb5a181c167fad,,N
102,5dbf709c11bb5a181c167fae,,N
103,5dbf709c11bb5a181c167faf,,N
104,5dbf709c11bb5a181c167fb0,,N
105,5dbf709c11bb5a181c167fb1,,N
106,5dbf709c11bb5a181c167fb2,Tough Job,N
107,5dbf709c11bb5a181c167fb3,,N
108,5dbf709d11bb5a181c167fb4,,N
109,5dbf709d11bb5a181c167fb5,,N
110,5dbf709d11bb5a181c167fb6,Tough Job,N
111,5dbf709d11bb5a181c167fb7,Bank of New York,N
112,5dbf709d11bb5a181c167fb8,Pay,N
113,5dbf709d11bb5a181c167fb9,Stock,N
114,5dbf709d11bb5a181c167fb9,Perfect Person,N
115,5dbf709d11bb5a181c167fba,,N
116,5dbf709d11bb5a181c167fbb,New Era,N
117,5dbf709d11bb5a181c167fbc,Stock,N
118,5dbf709d11bb5a181c167fbd,,N
119,5dbf709d11bb5a181c167fbe,,N
120,5dbf709d11bb5a181c167fbf,,N
121,5dbf709d11bb5a181c167fc0,,N
122,5dbf709d11bb5a181c167fc1,,N
123,5dbf709d11bb5a181c167fc2,,N
124,5dbf709d11bb5a181c167fc3,Stock,N
125,5dbf709d11bb5a181c167fc4,Stock,N
126,5dbf709d11bb5a181c167fc5,,N
127,5dbf709d11bb5a181c167fc6,,N
128,5dbf709d11bb5a181c167fc7,,N
129,5dbf709d11bb5a181c167fc8,Perfect Person,N
130,5dbf709e11bb5a181c167fc9,,N
131,5dbf709e11bb5a181c167fca,Stock,N
132,5dbf709e11bb5a181c167fcb,,N
133,5dbf709e11bb5a181c167fcc,Stock,N
134,5dbf709e11bb5a181c167fcd,Stock,N
135,5dbf709e11bb5a181c167fce,Stock,N
136,5dbf709e11bb5a181c167fcf,,N
137,5dbf70aa11bb5a181c167fd0,Dimon,N
138,5dbf70aa11bb5a181c167fd0,Detail Oriented,N
139,5dbf70ab11bb5a181c167fd1,Tough Job,N
140,5dbf70ab11bb5a181c167fd2,Tough Job,N
141,5dbf70ab11bb5a181c167fd3,,N
142,5dbf70ab11bb5a181c167fd4,Stock,N
143,5dbf70ab11bb5a181c167fd5,,N
144,5dbf70ab11bb5a181c167fd6,,N
145,5dbf70b811bb5a181c167fd7,,N
146,5dbf70b811bb5a181c167fd8,,N
147,5dbf70b811bb5a181c167fd9,,N
148,5dbf70b811bb5a181c167fda,Dimon,N
149,5dbf70b811bb5a181c167fda,Shake up,N
150,5dbf70c811bb5a181c167fdb,,N
151,5dbf70c811bb5a181c167fdc,,N
152,5dbf70c811bb5a181c167fdd,,N
153,5dbf70c811bb5a181c167fde,,N
154,5dbf70c811bb5a181c167fdf,,N
155,5dbf70c811bb5a181c167fe0,,N
156,5dbf70c811bb5a181c167fe1,,N
157,5dbf70c911bb5a181c167fe2,,N
158,5dbf70c911bb5a181c167fe3,,N
159,5dbf70c911bb5a181c167fe4,,N
160,5dbf70c911bb5a181c167fe5,,N
161,5dbf70c911bb5a181c167fe6,,N
162,5dbf70c911bb5a181c167fe7,,N
163,5dbf70c911bb5a181c167fe8,,N
164,5dbf70c911bb5a181c167fe9,,N
165,5dbf70c911bb5a181c167fea,,N
166,5dbf70c911bb5a181c167feb,,N
167,5dbf70c911bb5a181c167fec,,N
168,5dbf70c911bb5a181c167fed,,N
169,5dbf70c911bb5a181c167fee,,N
170,5dbf70c911bb5a181c167fef,Tough Job,N
171,5dbf70c911bb5a181c167ff0,Diversity,N
172,5dbf70c911bb5a181c167ff0,humor,N
173,5dbf70c911bb5a181c167ff1,,N
174,5dbf70c911bb5a181c167ff2,,N
175,5dbf70c911bb5a181c167ff3,Outsider,N
176,5dbf70c911bb5a181c167ff3,New Era,N
177,5dbf70c911bb5a181c167ff4,,N
178,5dbf70c911bb5a181c167ff5,Tough Job,N
179,5dbf70c911bb5a181c167ff6,,N
180,5dbf70ca11bb5a181c167ff7,,N
181,5dbf70ca11bb5a181c167ff8,,N
182,5dbf70ca11bb5a181c167ff9,,N
183,5dbf70db11bb5a181c167ffa,Not CEO social contribution,N
184,5dbf70db11bb5a181c167ffb,,N
185,5dbf70db11bb5a181c167ffc,,N
186,5dbf70db11bb5a181c167ffd,,N
187,5dbf70dc11bb5a181c167ffe,,N
188,5dbf70dc11bb5a181c167fff,,N
189,5dbf70dc11bb5a181c168000,,N
190,5dbf70dc11bb5a181c168001,,N
191,5dbf70dc11bb5a181c168002,,N
192,5dbf70dc11bb5a181c168003,Stock,N
193,5dbf70dc11bb5a181c168004,,N
194,5dbf70dc11bb5a181c168005,,N
195,5dbf70dc11bb5a181c168006,,N
196,5dbf70dc11bb5a181c168007,,N
197,5dbf70dc11bb5a181c168008,,N
198,5dbf70dc11bb5a181c168009,,N
199,5dbf70dc11bb5a181c16800a,,N
200,5dbf70dc11bb5a181c16800b,,N
201,5dbf70dc11bb5a181c16800c,,N
202,5dbf70dc11bb5a181c16800d,,N
203,5dbf70dc11bb5a181c16800e,,N
204,5dbf70dc11bb5a181c16800f,,N
205,5dbf70dc11bb5a181c168010,,N
206,5dbf70ea11bb5a181c168011,,N
207,5dbf70ea11bb5a181c168012,,N
208,5dbf70ea11bb5a181c168013,,N
209,5dbf70ea11bb5a181c168014,,N
210,5dbf70ea11bb5a181c168015,,N
211,5dbf70ea11bb5a181c168016,,N
212,5dbf70ea11bb5a181c168017,,N
