,Date,RegionName,Population,Afford_idx,Property_Crimes,Violent_Crimes,SalePrice,UnemployRate,Rate,Days_On_Zillow,Monthly_List_Zillow
0,2013-01-01,Alameda County,1554138,0.32,1018333,151634,429100.0,8.3,3.41,79.0,2326.0
1,2013-02-01,Alameda County,1554138,0.32,1018333,151634,428400.0,7.8,3.53,70.0,2229.0
2,2013-03-01,Alameda County,1554138,0.32,1018333,151634,436100.0,7.5,3.57,51.0,2115.0
3,2013-04-01,Alameda County,1554138,0.25,1018333,151634,441500.0,7.0,3.45,46.5,2105.0
4,2013-05-01,Alameda County,1554138,0.25,1018333,151634,460100.0,7.0,3.54,45.0,2159.0
5,2013-06-01,Alameda County,1554138,0.25,1018333,151634,473800.0,7.6,4.07,46.0,2172.0
6,2013-07-01,Alameda County,1580247,0.21,1018333,151634,489400.0,7.7,4.37,47.0,2155.0
7,2013-08-01,Alameda County,1580247,0.21,1018333,151634,498600.0,7.3,4.46,46.0,2116.0
8,2013-09-01,Alameda County,1580247,0.21,1018333,151634,506600.0,6.9,4.49,48.0,2151.0
9,2013-10-01,Alameda County,1580247,0.23,1018333,151634,513100.0,6.9,4.19,48.0,2295.0
10,2013-11-01,Alameda County,1580247,0.23,1018333,151634,516600.0,6.5,4.26,48.0,2368.0
11,2013-12-01,Alameda County,1580247,0.23,1018333,151634,518100.0,6.2,4.46,56.0,2334.0
12,2014-01-01,Alameda County,1580247,0.22836,946682,151425,519900.0,6.4,4.43,66.0,2274.0
13,2014-02-01,Alameda County,1580247,0.22836,946682,151425,520700.0,6.4,4.3,44.0,2227.0
14,2014-03-01,Alameda County,1580247,0.22836,946682,151425,524700.0,6.3,4.34,43.0,2294.0
15,2014-04-01,Alameda County,1580247,0.17611662340594936,946682,151425,528700.0,5.5,4.34,41.0,2366.0
16,2014-05-01,Alameda County,1580247,0.17611662340594936,946682,151425,538900.0,5.6,4.19,43.0,2300.0
17,2014-06-01,Alameda County,1580247,0.17611662340594936,946682,151425,545600.0,5.9,4.16,45.0,2320.0
18,2014-07-01,Alameda County,1608674,0.21,946682,151425,551700.0,6.3,4.13,43.0,2391.0
19,2014-08-01,Alameda County,1608674,0.21,946682,151425,565000.0,6.1,4.12,46.0,2326.0
20,2014-09-01,Alameda County,1608674,0.21,946682,151425,565900.0,5.5,4.16,49.0,2299.0
21,2014-10-01,Alameda County,1608674,0.2008772439897888,946682,151425,564000.0,5.4,4.04,47.5,2316.0
22,2014-11-01,Alameda County,1608674,0.2008772439897888,946682,151425,560700.0,5.3,4.0,49.0,2268.0
23,2014-12-01,Alameda County,1608674,0.2008772439897888,946682,151425,563400.0,4.9,3.86,56.0,2219.0
24,2015-01-01,Alameda County,1608674,0.245719216050359,1023828,166588,569200.0,5.3,3.67,64.0,2179.0
25,2015-02-01,Alameda County,1608674,0.245719216050359,1023828,166588,563400.0,5.1,3.71,46.0,2171.0
